cliente_id,churn_real,churn_prob,segmento_enc,meses_cliente,qtd_produtos,retorno_12m_pct,freq_contato_mes,saldo_bi,engajamento_score,retorno_relativo,flag_risco,intensidade_rel
CLI00000,1,0.1885,0.6035477146634598,-0.05214812924876084,-0.07873799982288546,0.021011501785272172,-0.16337083419190657,-0.14805714641983486,0.3633969899308138,-0.09337375777360005,-0.00024552865262603374,-0.060946689802133386
CLI00001,0,0.033,-1.8197766513584615,0.20267942608521336,-0.013809660942705077,0.14204311433007538,-0.05630435692648103,-0.2848384513753895,0.3454892685551237,-0.03137205640443896,-0.0004244156135241354,-0.009506832915900104
CLI00002,0,0.2843,-1.1012477915331231,0.16874317633458621,0.12495067281361918,0.0946102818887413,0.049467784233221374,0.43193392638484956,0.252799766639839,-0.0822357249739156,-0.00012433741996937338,0.9886648951649217
CLI00003,0,0.3008,0.6851916666849394,-0.016668830638664547,0.1606825927401939,0.004429370169980257,0.034437533642578656,-0.26521017284744897,0.3044563693909323,-0.1527708822071026,-0.00012433741996937338,0.25268319085445157
CLI00004,0,0.3055,0.632251159351745,0.23474018516313586,0.06563443839424765,0.18055323465734824,0.046921304132806534,0.07665889775674849,-0.1760579608606077,0.04068807235595909,-0.0004244156135241354,-0.07137134116744337
CLI00005,1,0.602,0.6965401402770928,0.016936376649290538,0.06822424081490472,0.23636550636683376,-0.04346729792968461,0.6759293730653991,0.34321722799126597,0.020565852435904513,-9.027674444969639e-05,0.2503862466472324
CLI00006,1,0.1232,0.5995157133681034,-0.32519851532023986,-0.029597586228039544,-0.27026413780365777,-0.09314749233795587,0.37981008812658434,-0.09628306989475495,-0.29841608837128697,-7.372716695007258e-05,0.022204272130692856
CLI00007,0,0.3616,-0.48043859464851074,0.3060430933882839,-0.06068111696323686,0.11999014252321484,0.048305840686211264,0.054458353124457945,0.2279373162052593,-0.045229191335427445,-0.0006162773905514357,1.112469716985421
CLI00008,0,0.1915,0.26659655884534483,0.4886687156168171,-0.013813556892525775,0.04179116292123261,0.03517891984536688,0.14559060306520905,-0.132443912494793,-0.0838341759066402,-0.0004244156135241354,-0.33682821263628865
CLI00009,0,0.0634,-1.0044725818418083,0.22272153380960646,0.02495916670170671,-0.0011508608379248108,0.05032794873042985,0.18886452500611967,-0.10775632131790232,-0.1701075279885337,-0.00012433741996937338,-0.04477157905942283
CLI00010,0,0.2266,0.6536556017859216,0.2464008042109042,0.031800193409599296,-0.05529119192583494,-0.022001786105519262,0.44450576603962005,-0.17129105256631497,-0.19294516058566036,-9.027674444969639e-05,-0.3118106906017249
CLI00011,0,0.0171,-1.5790079929829766,0.10553230942807366,-0.046455591897781236,-0.2691800757502462,0.00924930500815571,-0.3831549439735367,0.372443300440621,-0.33158876733998044,-0.00012433741996937338,-0.08047823158086839
CLI00012,0,0.0671,-0.7466411327426175,0.026223867403717488,0.0024465079664522985,0.0613172752019944,-0.01523825220901038,0.1180107921694553,-0.07334140499365063,-0.08852105711481564,-0.000599727813051812,-0.06582063022095655
CLI00013,0,0.1033,0.5645828498642248,-0.0822223127862367,0.08502945235771481,0.011865546992556828,-0.25823632053857754,0.10855649993007545,0.31882798797992895,-0.1512524092036873,-7.372716695007258e-05,-0.9075957296754689
CLI00014,1,0.6777,0.15499976625629075,0.3280461729205328,0.07499969306808275,0.8591749725438611,0.05847916456937839,0.6569022961649772,-0.15923142371587398,0.6570614165415442,-0.00039035493800445843,-0.03617511456723227
CLI00015,0,0.2007,0.6620545743942353,0.14385597485766474,0.09788108236111215,0.1304894363195321,-0.038532756715673654,-0.4352549160609506,0.2474872695734913,0.011071022673505446,-0.00012433741996937338,-0.3503501049023539
CLI00016,0,0.1382,0.5948735201249558,-0.24025531705346867,0.03695695183068113,0.012240254096779955,0.03468458649793178,-0.2725650798775799,-0.08977573909452329,-0.10297744126048691,-0.00012433741996937338,0.047498753269312945
CLI00017,1,0.1491,0.5910457697960385,0.23688148919838264,-0.05988670499089384,-0.36809606515068755,-0.09884668613503317,0.35142004614415495,-0.12899418538154828,-0.32475475470557835,-9.027674444969639e-05,-0.08958553226252931
CLI00018,0,0.0923,0.49670915687899714,-0.27455563554752604,-0.020868396875472848,-0.22144456446052357,-0.010032045145060743,-0.28384404910615224,-0.1166283910918856,-0.11276124197686131,-0.0006162773905514357,0.10911427709269521
CLI00019,1,0.7467,0.7952567906674687,-0.08021726051750587,0.03459588681704553,0.8159117646143441,0.05050511984818733,0.4511575729093057,-0.04128587258567592,0.8237742246713099,-0.00012433741996937338,0.08212144222991143
CLI00020,0,0.3389,0.5687267508641297,0.33298055069789606,-0.0007741829820710168,0.09599374991419601,0.04802992043758639,0.35134893315810484,-0.1447670680482804,-0.08721252576887006,-9.027674444969639e-05,0.018162410104485924
CLI00021,0,0.1067,0.6095240871380767,-0.36748536220672307,-0.03813176861657153,0.04630518414952105,0.01339018538427772,-0.3665257626751193,-0.14875221859631985,-0.06389984259053963,-9.027674444969639e-05,0.04181932322511402
CLI00022,1,0.3467,0.5000933901354438,-0.11469395008780756,-0.001902381147000018,0.3728092514187901,-0.02827343089404365,0.24252116273688895,0.2317082241575231,0.13369457879488128,-0.000599727813051812,-0.11817125560557176
CLI00023,1,0.4206,0.6501173620571905,0.34626419726045493,0.0018956048113663328,0.10077774414657921,0.0530666888292784,0.3975549549933639,-0.1720840813410866,-0.05506545802175864,-0.00039035493800445843,0.20838196885100577
CLI00024,0,0.1855,0.5488632538404705,0.3445155988293247,-0.024616724318758047,0.06360678135558095,0.036696784565984394,-0.007152602797722756,-0.21496047817670608,-0.1474105825552435,-0.00012433741996937338,-0.22849482416932682
CLI00025,0,0.0765,-0.5659160891946288,0.03823120100906022,-0.05841449007312796,0.10230276100091737,0.04741850188258149,-0.01572529258655461,-0.08000536851338642,-0.06653618008247617,-0.0006162773905514357,-0.04024844842013816
CLI00026,0,0.13,0.6538058828771447,-0.20379034225192236,-0.010683871158536393,-0.0014657334692677322,-0.142026127480059,-0.1929493177440086,-0.09085939869403328,-0.11653742913830695,-0.00010778784246974956,0.05475178692854808
CLI00027,0,0.1593,0.4083429228214997,-0.24062438581832443,0.009508039577367644,0.06078727248369177,0.04625514820053406,0.045098850886631486,-0.12220418617839385,-0.08192167058462638,-0.0006162773905514357,0.06292119239682073
CLI00028,1,0.7202,0.8501034411480306,0.28147487264719034,0.10612117635566154,0.12099942570693134,0.04702003098644296,0.3245554737879553,0.39868784021582143,-0.04698387590245082,-9.027674444969639e-05,0.714073160392603
CLI00029,1,0.2574,0.5331651110525341,-0.011795630726678453,-0.03632544211719481,0.11419729683753518,0.017977474269942152,0.46265661601754415,-0.1583185148970699,-0.03313485710723601,-0.00039035493800445843,-0.09691266166988292
CLI00030,1,0.5037,0.5010602695384768,-0.015585100262369174,-0.023961975123875556,0.528156607522199,-0.00418675646042814,0.7064611654329095,0.005414093377150421,0.14070492313280955,-0.00021684194537836235,0.02768158727363058
CLI00031,0,0.1251,0.47634165263299694,-0.13209131344829483,-0.00881455419512691,0.29135705914223414,-0.017336809135124618,-0.37107820430160393,-0.18861631383250402,0.06945222196241224,-0.0006162773905514357,-0.21300612251423545
